,구별,소계,인구수,한국인,외국인,고령자,고령자비율,외국인비율
0,강남구,2780,570500.0,565550.0,4950.0,63167.0,11.07221735319895,0.8676599474145487
1,강동구,773,453233.0,449019.0,4214.0,54622.0,12.051637899270354,0.9297646023127177
2,강북구,748,330192.0,326686.0,3506.0,54813.0,16.600341619421428,1.0618064641178466
3,강서구,884,603772.0,597248.0,6524.0,72548.0,12.015794041459358,1.080540336418383
4,관악구,1496,525515.0,507203.0,18312.0,68082.0,12.955291475980705,3.4845817911953034
5,광진구,707,372164.0,357211.0,14953.0,42214.0,11.34284885158156,4.017852344665255
6,구로구,1561,447874.0,416487.0,31387.0,56833.0,12.68950642368166,7.007997785091343
7,금천구,1015,255082.0,236353.0,18729.0,32970.0,12.925255408064857,7.342344814608635
8,노원구,1265,569384.0,565565.0,3819.0,71941.0,12.634882609978504,0.6707248535259157
9,도봉구,485,348646.0,346629.0,2017.0,51312.0,14.717507156255916,0.5785237748317777
10,동대문구,1294,369496.0,354079.0,15417.0,54173.0,14.661322450040053,4.172440297053283
11,동작구,1091,412520.0,400456.0,12064.0,56013.0,13.578250751478716,2.9244642683991082
12,마포구,574,389649.0,378566.0,11083.0,48765.0,12.515109752623516,2.844354791106868
13,서대문구,962,327163.0,314982.0,12181.0,48161.0,14.720796667104777,3.7232205353294843
14,서초구,1930,450310.0,445994.0,4316.0,51733.0,11.488308054451378,0.9584508449734627
15,성동구,1062,311244.0,303380.0,7864.0,39997.0,12.850689491203044,2.5266350515993885
16,성북구,1464,461260.0,449773.0,11487.0,64692.0,14.025061787278325,2.4903525126826516
17,송파구,618,667483.0,660584.0,6899.0,72506.0,10.862598747833278,1.0335843759316716
18,양천구,2034,479978.0,475949.0,4029.0,52975.0,11.036964194192233,0.8394134731175179
19,영등포구,904,402985.0,368072.0,34913.0,52413.0,13.006191297442832,8.663597900666279
20,용산구,1624,244203.0,229456.0,14747.0,36231.0,14.836427070920505,6.038828351822049
21,은평구,1873,494388.0,489943.0,4445.0,72334.0,14.631018552230232,0.899091401894868
22,종로구,1002,162820.0,153589.0,9231.0,25425.0,15.61540351308193,5.669450927404496
23,중구,671,133240.0,124312.0,8928.0,20764.0,15.583908736115282,6.700690483338337
24,중랑구,660,414503.0,409882.0,4621.0,56774.0,13.696885185390698,1.114829084469835
